Cannes,default,pagerank
0,https://www.nytimes.com/2019/05/25/movies/cannes-film-festival-winners-parasite.html,https://www.nytimes.com/interactive/2017/obituaries/notable-deaths/jack-doroshow
1,https://www.nytimes.com/2019/05/25/movies/cannes-film-festival-winners-parasite.html,https://www.nytimes.com/interactive/2016/obituaries/notable-deaths/abbas-kiarostami
2,https://www.nytimes.com/2018/04/12/movies/cannes-lineup-netflix-boycott.html,https://www.nytimes.com/2017/10/05/us/harvey-weinstein-harassment-allegations.html
3,https://www.nytimes.com/2019/05/24/movies/cannes-almodovar-kechiche.html,https://www.nytimes.com/interactive/2019/10/15/t-magazine/nick-cave-artist.html
4,https://www.nytimes.com/2019/05/16/movies/cannes-film-festival-jim-jarmusch.html,https://www.nytimes.com/2018/09/18/opinion/colombia-swimming-lesson-mangroves-dulce.html
5,https://www.nytimes.com/2019/05/21/movies/cannes-film-festival-antonio-banderas-pedro-almodovar.html,https://www.nytimes.com/2019/10/10/movies/parasite-review.html
6,https://www.nytimes.com/2019/05/27/movies/cannes-oscars.html,https://www.nytimes.com/news-event/awards-season
7,https://www.nytimes.com/2019/05/20/arts/cannes-film-festival-black-director.html,https://www.nytimes.com/2017/10/05/us/harvey-weinstein-harassment-allegations.html
8,https://www.nytimes.com/2019/05/22/movies/quentin-tarantino-margot-robbie.html,https://www.nytimes.com/interactive/2019/10/15/t-magazine/rachel-weisz-acting-movies.html
9,https://www.nytimes.com/2019/05/22/movies/dicaprio-pitt.html,https://www.nytimes.com/interactive/2019/10/15/t-magazine/nicolas-ghesquiere-louis-vuitton.html
Congress,default,pagerank
0,https://www.nytimes.com/interactive/2019/us/politics/trump-impeachment-congress-list.html,https://www.nytimes.com
1,https://www.nytimes.com/2019/11/05/magazine/congress-president-impeachment.html,https://www.nytimes.com/video/us/politics/100000006067682/president-trump-impeach-questions-answers-michael-cohen.html
2,https://www.nytimes.com/2019/11/05/magazine/congress-president-impeachment.html,https://www.nytimes.com/video/us/politics/100000005524412/paul-manafort-fraud-laundering-scandal.html
3,https://www.nytimes.com/2019/07/25/us/politics/mueller-impeachment.html,https://www.nytimes.com/section/magazine
4,https://www.nytimes.com/2019/09/07/us/politics/congress-assault-weapons-ban.html,https://www.nytimes.com/section/t-magazine
5,https://www.nytimes.com/2018/11/21/obituaries/james-billington-dead.html,https://www.nytimes.com/issue/todayspaper/2019/11/10/todays-new-york-times
6,https://www.nytimes.com/2019/07/26/us/politics/donald-trump-impeachment.html,https://www.nytimes.com/section/jobs
7,https://www.nytimes.com/2019/08/07/us/politics/foreign-aid-freeze-congress.html,https://www.nytimes.com/2017/10/30/us/politics/paul-manafort.html
8,https://www.nytimes.com/2018/07/30/obituaries/ron-dellums-forceful-liberal-in-congress-for-27-years-dies-at-82.html,https://www.nytimes.com/2018/08/22/us/politics/offense-impeachable-constitution.html
9,https://www.nytimes.com/2017/12/21/world/americas/peru-president-impeachment.html,https://www.nytimes.com/interactive/2017/04/19/crosswords/CROSSWORDS-sports-names.html
Democrats,default,pagerank
0,https://www.nytimes.com/2018/09/04/us/politics/ayanna-pressley-massachusetts.html,https://www.nytimes.com/video
1,https://www.nytimes.com/2018/11/07/us/politics/election-history-firsts-blackburn-pressley.html,https://www.nytimes.com
2,https://www.nytimes.com/2019/10/16/us/politics/democrats-impeachment.html,https://www.nytimes.com/video/us/politics/100000006067682/president-trump-impeach-questions-answers-michael-cohen.html
3,https://www.nytimes.com/2018/01/23/us/politics/impeach-trump-democrats-tom-steyer.html,https://www.nytimes.com/video/opinion/100000006064751/coal-miner-to-trump-coal-mining-isnt-coming-back.html
4,https://www.nytimes.com/2019/09/29/us/politics/pelosi-trump-impeachment.html,https://www.nytimes.com/section/magazine
5,https://www.nytimes.com/2019/09/24/us/politics/trump-democrats.html,https://www.nytimes.com/section/us
6,https://www.nytimes.com/2019/10/28/us/politics/trump-impeachment-subpoena-house.html,https://www.nytimes.com/issue/todayspaper/2019/11/10/todays-new-york-times
7,https://www.nytimes.com/2019/11/05/opinion/trump-democrats-2020.html,https://www.nytimes.com/section/opinion/columnists
8,https://www.nytimes.com/2019/11/01/us/politics/house-republican-box-prank.html,https://www.nytimes.com/section/opinion
9,https://www.nytimes.com/2019/07/20/us/politics/trump-democrats-socialists.html,https://www.nytimes.com/section/politics
PatriotMovement,default,pagerank
0,https://www.nytimes.com/2019/08/14/opinion/joe-walsh-trump-primary.html,https://www.nytimes.com/video
1,https://www.nytimes.com/1976/08/27/archives/lewis-michaux-92-dies-ran-bookstore-in-harlem.html,https://www.nytimes.com
2,https://www.nytimes.com/2019/05/15/us/politics/us-iraq-embassy-evacuation.html,https://www.nytimes.com/section/t-magazine
3,https://www.nytimes.com/2019/01/07/obituaries/moshe-arens-dead.html,https://www.nytimes.com/section/technology
4,https://www.nytimes.com/2019/10/27/obituaries/john-conyers-jr-dead.html,https://www.nytimes.com/issue/todayspaper/2019/11/10/todays-new-york-times
5,https://www.nytimes.com/2018/12/29/obituaries/shehu-shagari-dead.html,https://www.nytimes.com/section/opinion
6,https://www.nytimes.com/2019/10/22/sports/football/jets-patriots.html,https://www.nytimes.com/section/lens
7,https://www.nytimes.com/2019/10/30/opinion/alexander-vindman-trump-ukraine.html,https://www.nytimes.com/video/opinion
